Session_ID_128,temporal_behavior,network_selection,address_selection
44730,intermittent,single prefix,structured
85273,periodic,independent,structured
26327,periodic,independent,unknown
26282,periodic,independent,unknown
68386,intermittent,single prefix,structured
11526,periodic,independent,structured
29305,periodic,dependent,unknown
29798,one-off,single prefix,structured
71341,periodic,independent,unknown
19466,periodic,independent,unknown
68878,periodic,independent,unknown
76478,periodic,independent,unknown
75246,periodic,independent,unknown
44888,periodic,independent,unknown
82631,periodic,independent,unknown
74015,periodic,independent,unknown
70111,periodic,independent,unknown
72566,periodic,independent,unknown
78939,periodic,independent,unknown
80169,periodic,independent,unknown
24238,one-off,single prefix,structured
81400,periodic,independent,unknown
64284,periodic,inconsistent,unknown
77710,periodic,independent,unknown
85274,periodic,independent,structured
40023,intermittent,single prefix,structured
24104,intermittent,independent,structured
24056,intermittent,independent,structured
85275,periodic,independent,structured
84477,intermittent,independent,structured
67408,periodic,independent,structured
56761,periodic,independent,structured
53575,intermittent,independent,structured
54559,intermittent,independent,structured
84958,periodic,single prefix,structured
91807,intermittent,independent,structured
41076,periodic,independent,structured
29306,periodic,dependent,unknown
39736,intermittent,single prefix,structured
17255,intermittent,single prefix,structured
58561,intermittent,single prefix,structured
58215,intermittent,single prefix,structured
29307,periodic,dependent,unknown
18652,one-off,single prefix,structured
27731,one-off,single prefix,structured
28883,intermittent,single prefix,structured
60281,one-off,single prefix,structured
17528,intermittent,single prefix,structured
29308,periodic,dependent,unknown
67256,one-off,single prefix,structured
27771,one-off,single prefix,structured
85276,periodic,independent,structured
84552,intermittent,independent,structured
29309,periodic,dependent,unknown
60221,one-off,single prefix,structured
85277,periodic,independent,structured
31326,intermittent,inconsistent,unknown
71342,periodic,independent,unknown
19467,periodic,independent,unknown
68879,periodic,independent,unknown
76479,periodic,independent,unknown
75247,periodic,independent,unknown
44889,periodic,independent,unknown
82632,periodic,independent,unknown
74016,periodic,independent,unknown
70112,periodic,independent,unknown
72567,periodic,independent,unknown
22486,periodic,inconsistent,unknown
78940,periodic,independent,unknown
80170,periodic,independent,unknown
81401,periodic,independent,unknown
64285,periodic,inconsistent,unknown
77711,periodic,independent,unknown
36166,periodic,independent,unknown
29310,periodic,dependent,unknown
71343,periodic,independent,unknown
19468,periodic,independent,unknown
68880,periodic,independent,unknown
76480,periodic,independent,unknown
75248,periodic,independent,unknown
44890,periodic,independent,unknown
82633,periodic,independent,unknown
74017,periodic,independent,unknown
70113,periodic,independent,unknown
72568,periodic,independent,unknown
78941,periodic,independent,unknown
80171,periodic,independent,unknown
81402,periodic,independent,unknown
64286,periodic,inconsistent,unknown
77712,periodic,independent,unknown
62483,periodic,inconsistent,unknown
17287,one-off,single prefix,structured
67332,periodic,single prefix,structured
85278,periodic,independent,structured
65302,periodic,single prefix,structured
33223,periodic,inconsistent,unknown
36167,periodic,independent,unknown
29311,periodic,dependent,unknown
30370,periodic,inconsistent,unknown
16352,periodic,single prefix,structured
25251,periodic,inconsistent,unknown
56827,intermittent,independent,structured
49257,periodic,inconsistent,unknown
62484,periodic,inconsistent,unknown
27895,one-off,single prefix,structured
46166,intermittent,inconsistent,unknown
51325,periodic,inconsistent,unknown
84325,one-off,single prefix,structured
2808,intermittent,inconsistent,unknown
42156,periodic,inconsistent,unknown
59285,periodic,inconsistent,unknown
1793,intermittent,inconsistent,unknown
42896,intermittent,inconsistent,unknown
55796,periodic,inconsistent,unknown
18604,intermittent,independent,structured
33224,periodic,inconsistent,unknown
85279,periodic,independent,structured
34266,periodic,inconsistent,unknown
29312,periodic,dependent,unknown
22487,periodic,inconsistent,unknown
49648,periodic,independent,unknown
85280,periodic,independent,structured
60808,periodic,inconsistent,unknown
61817,periodic,single prefix,structured
50344,periodic,inconsistent,unknown
60809,periodic,inconsistent,unknown
912,intermittent,inconsistent,unknown
27410,one-off,single prefix,structured
6639,periodic,inconsistent,unknown
18704,periodic,single prefix,structured
46167,intermittent,inconsistent,unknown
1794,intermittent,inconsistent,unknown
71344,periodic,independent,unknown
19469,periodic,independent,unknown
68881,periodic,independent,unknown
76481,periodic,independent,unknown
75249,periodic,independent,unknown
44891,periodic,independent,unknown
82634,periodic,independent,unknown
34267,periodic,inconsistent,unknown
74018,periodic,independent,unknown
70114,periodic,independent,unknown
72569,periodic,independent,unknown
78942,periodic,independent,unknown
80172,periodic,independent,unknown
81403,periodic,independent,unknown
64287,periodic,inconsistent,unknown
77713,periodic,independent,unknown
42157,periodic,inconsistent,unknown
68523,periodic,independent,structured
62148,one-off,single prefix,structured
51326,periodic,inconsistent,unknown
2809,intermittent,inconsistent,unknown
31327,intermittent,inconsistent,unknown
29313,periodic,dependent,unknown
41223,periodic,inconsistent,unknown
7598,one-off,single prefix,structured
15544,periodic,inconsistent,unknown
85281,periodic,independent,structured
13622,intermittent,single prefix,structured
3950,intermittent,single prefix,structured
71345,periodic,independent,unknown
19470,periodic,independent,unknown
68882,periodic,independent,unknown
76482,periodic,independent,unknown
75250,periodic,independent,unknown
44892,periodic,independent,unknown
82635,periodic,independent,unknown
74019,periodic,independent,unknown
70115,periodic,independent,unknown
72570,periodic,independent,unknown
78943,periodic,independent,unknown
80173,periodic,independent,unknown
81404,periodic,independent,unknown
9468,periodic,inconsistent,unknown
64288,periodic,inconsistent,unknown
77714,periodic,independent,unknown
49258,periodic,inconsistent,unknown
36517,periodic,inconsistent,unknown
55797,periodic,inconsistent,unknown
13633,intermittent,inconsistent,unknown
48278,periodic,inconsistent,unknown
14458,periodic,inconsistent,unknown
42897,intermittent,inconsistent,unknown
23902,intermittent,single prefix,structured
29314,periodic,dependent,unknown
913,intermittent,inconsistent,unknown
52307,periodic,inconsistent,unknown
20723,periodic,inconsistent,unknown
57037,periodic,inconsistent,unknown
59286,periodic,inconsistent,unknown
67094,intermittent,single prefix,structured
62075,intermittent,single prefix,structured
60340,intermittent,single prefix,structured
33142,intermittent,single prefix,structured
32449,periodic,independent,unknown
54846,periodic,inconsistent,unknown
17580,periodic,inconsistent,unknown
67,periodic,independent,unknown
16404,periodic,inconsistent,unknown
13634,intermittent,inconsistent,unknown
20724,periodic,inconsistent,unknown
85282,periodic,independent,structured
8621,periodic,inconsistent,unknown
84796,one-off,single prefix,structured
84655,one-off,single prefix,structured
49649,periodic,independent,unknown
24289,periodic,inconsistent,unknown
29315,periodic,dependent,unknown
51244,one-off,single prefix,structured
22488,periodic,inconsistent,unknown
57038,periodic,inconsistent,unknown
30371,periodic,inconsistent,unknown
4054,periodic,inconsistent,unknown
12690,periodic,inconsistent,unknown
54847,periodic,inconsistent,unknown
85283,periodic,independent,structured
25252,periodic,inconsistent,unknown
4055,periodic,inconsistent,unknown
52308,periodic,inconsistent,unknown
62037,one-off,single prefix,structured
32450,periodic,independent,unknown
33225,periodic,inconsistent,unknown
35303,periodic,independent,unknown
24189,intermittent,single prefix,structured
15545,periodic,inconsistent,unknown
8622,periodic,inconsistent,unknown
29316,periodic,dependent,unknown
39764,periodic,independent,structured
68670,intermittent,single prefix,structured
34268,periodic,inconsistent,unknown
52309,periodic,inconsistent,unknown
